elo_diff,h2h_home_win_rate,h2h_total_games,home_venue_win_rate,away_venue_win_rate,rolling_margin_diff,rolling_score_for_diff,rolling_score_against_diff,rolling_win_rate_diff,streak_diff,rest_diff,ladder_position_diff,venue_encoded,away_interstate,home_interstate
-143.6,0.7142857142857143,21.0,1.0,0.5,-7.5,-5.900000000000006,1.5999999999999943,-0.19999999999999998,-2.0,0.0,-4.0,13.0,0.0,0.0
-60.4,0.4444444444444444,18.0,0.563961038961039,0.0,-22.7,-20.400000000000006,2.299999999999997,-0.09999999999999998,3.0,4.0,-3.0,6.0,0.0,0.0
116.1,0.3333333333333333,21.0,0.563961038961039,1.0,19.200000000000003,14.600000000000001,-4.599999999999994,0.09999999999999998,4.0,-7.0,1.0,13.0,0.0,0.0
8.1,0.25,20.0,1.0,0.0,1.7000000000000028,2.0999999999999943,0.4000000000000057,0.20000000000000007,-2.0,2.0,3.0,0.0,1.0,0.0
116.3,0.4117647058823529,17.0,0.0,0.5,24.9,11.599999999999994,-13.300000000000011,0.10000000000000003,-3.0,-3.0,2.0,13.0,0.0,0.0
-105.4,0.2777777777777778,18.0,0.0,0.0,-6.199999999999999,-2.9000000000000057,3.3000000000000114,-0.3,-5.0,1.0,-4.0,6.0,1.0,0.0
274.5,0.5,16.0,0.0,0.5,13.0,3.799999999999997,-9.200000000000003,0.30000000000000004,5.0,-1.0,7.0,0.0,1.0,0.0
8.4,0.7777777777777778,18.0,0.563961038961039,0.5,-14.100000000000001,-4.0,10.099999999999994,-0.09999999999999998,-2.0,1.0,-4.0,26.0,1.0,1.0
-183.4,0.47058823529411764,17.0,0.0,1.0,-55.5,-34.0,21.5,-0.6,-11.0,8.0,1.0,13.0,0.0,0.0
90.0,0.7407407407407407,27.0,0.563961038961039,0.5,-10.799999999999999,-2.5,8.299999999999997,0.0,-3.0,1.0,-2.0,9.0,0.0,0.0
-139.2,0.13333333333333333,15.0,0.0,0.5,-27.4,-27.0,0.4000000000000057,-0.20000000000000007,-6.0,-1.0,-7.0,13.0,0.0,0.0
115.9,0.5,18.0,1.0,0.5,7.300000000000001,4.1000000000000085,-3.1999999999999886,0.19999999999999996,0.0,1.0,5.0,9.0,1.0,0.0
-227.0,0.3333333333333333,15.0,0.563961038961039,1.0,-36.099999999999994,-11.100000000000009,25.0,-0.39999999999999997,-2.0,-8.0,-7.0,17.0,0.0,1.0
-22.3,0.6818181818181818,22.0,0.5,0.5,11.100000000000001,9.700000000000003,-1.3999999999999915,-0.10000000000000009,0.0,0.0,-3.0,6.0,1.0,0.0
15.7,0.7222222222222222,18.0,0.563961038961039,0.5,-21.599999999999998,-21.0,0.5999999999999943,-0.4,3.0,-8.0,1.0,13.0,1.0,0.0
28.1,0.5263157894736842,19.0,0.0,0.5,25.700000000000003,24.299999999999997,-1.3999999999999915,0.10000000000000009,-1.0,-6.0,1.0,12.0,1.0,0.0
-70.3,0.5625,16.0,0.563961038961039,0.5,-1.5,-3.5999999999999943,-2.0999999999999943,0.09999999999999998,3.0,2.0,8.0,19.0,1.0,0.0
-36.4,0.5625,16.0,1.0,0.5,7.8,-1.1999999999999886,-9.0,0.30000000000000004,6.0,0.0,4.0,17.0,1.0,0.0
-70.0,0.4375,16.0,1.0,0.0,-28.400000000000002,-17.0,11.399999999999991,-0.4,-13.0,1.0,-4.0,6.0,0.0,0.0
53.7,0.6470588235294118,17.0,0.5,0.5,-17.0,-10.5,6.5,-0.09999999999999998,3.0,2.0,-2.0,0.0,1.0,0.0
-221.6,0.5333333333333333,15.0,0.0,0.5,-39.4,-13.799999999999997,25.60000000000001,-0.4,-4.0,0.0,-6.0,17.0,1.0,0.0
280.6,0.4117647058823529,17.0,1.0,0.5,66.7,35.00000000000001,-31.700000000000003,0.6,14.0,-5.0,1.0,4.0,1.0,0.0
-142.3,0.2,15.0,0.563961038961039,0.5,-6.799999999999997,9.100000000000009,15.899999999999991,-0.09999999999999998,-2.0,0.0,1.0,6.0,1.0,0.0
-34.5,0.38095238095238093,21.0,0.3333333333333333,0.5,7.0,10.100000000000009,3.1000000000000085,-0.2,-1.0,7.0,1.0,13.0,0.0,0.0
-67.5,0.375,16.0,1.0,0.5,0.3999999999999986,5.699999999999989,5.300000000000011,0.0,-2.0,0.0,-2.0,15.0,1.0,1.0
189.8,0.47058823529411764,17.0,1.0,0.5,16.5,-2.0,-18.5,0.49999999999999994,2.0,3.0,6.0,13.0,0.0,0.0
-53.8,0.3888888888888889,18.0,0.0,0.0,-1.3999999999999986,-3.299999999999997,-1.9000000000000057,-0.10000000000000003,1.0,0.0,-2.0,6.0,1.0,0.0
2.9,0.25,16.0,0.6666666666666666,0.5,25.700000000000003,15.700000000000003,-9.999999999999993,0.30000000000000004,9.0,-3.0,2.0,0.0,1.0,0.0
-24.7,0.25,20.0,1.0,0.5,-1.6000000000000014,-8.399999999999991,-6.799999999999997,-0.20000000000000007,2.0,1.0,2.0,4.0,1.0,0.0
35.9,0.7222222222222222,18.0,1.0,0.5,-12.7,-2.8999999999999915,9.800000000000011,-0.10000000000000003,-2.0,-1.0,-4.0,19.0,1.0,0.0
369.5,0.47368421052631576,19.0,0.6666666666666666,0.5,74.4,50.300000000000004,-24.10000000000001,0.7,14.0,0.0,9.0,6.0,1.0,0.0
-51.4,0.47619047619047616,21.0,1.0,0.5,-44.800000000000004,-33.7,11.099999999999994,-0.10000000000000009,-2.0,-1.0,-8.0,19.0,1.0,0.0
-27.7,0.625,16.0,0.563961038961039,0.5,-1.7999999999999972,13.799999999999997,15.599999999999994,0.0,-4.0,-1.0,-1.0,2.0,1.0,1.0
-179.2,0.47058823529411764,17.0,0.5,0.0,-34.3,-28.900000000000006,5.400000000000006,-0.39999999999999997,-10.0,0.0,-7.0,6.0,1.0,0.0
51.5,0.6,15.0,0.75,0.3333333333333333,25.0,21.5,-3.5,0.0,-3.0,0.0,3.0,6.0,0.0,0.0
68.9,0.4666666666666667,15.0,1.0,0.5,14.0,7.0,-7.0,0.09999999999999998,3.0,-3.0,4.0,23.0,1.0,0.0
121.0,0.7333333333333333,15.0,0.0,1.0,6.900000000000002,-7.299999999999997,-14.200000000000003,0.20000000000000007,-1.0,2.0,4.0,13.0,1.0,0.0
-25.3,0.3,20.0,0.6666666666666666,0.5,-23.0,-13.699999999999989,9.299999999999997,-0.09999999999999998,-1.0,1.0,-7.0,0.0,1.0,0.0
